Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-08-19,215.45,6090818,214.0,215.53,213.82,0.004335260115606809,-0.016973125884017004,2024-08,-0.07491103202846976
2024-08-16,213.97,7931234,211.69,214.09,211.585,-0.006869343235089254,-0.019879987174201807,2024-08,-0.07491103202846976
2024-08-15,211.55,7001005,213.0,213.89,211.1,-0.011309996728513294,-0.02345012232839394,2024-08,-0.07491103202846976
2024-08-14,210.24,6999809,207.74,210.755,207.12,-0.006192389506026963,-0.02031686859273063,2024-08,-0.07491103202846976
2024-08-13,207.94,6387942,207.73,208.09,205.4,-0.010939878234398792,-0.030673130710423324,2024-08,-0.07491103202846976
2024-08-12,206.19,6935954,206.41,207.14,203.66,-0.008415889198807314,-0.04297980970062654,2024-08,-0.07491103202846976
2024-08-09,205.8,5540240,203.47,206.47,202.9,-0.0018914593336242236,-0.03818292283965041,2024-08,-0.07491103202846976
2024-08-08,204.06,7761199,202.47,204.91,201.79,-0.008454810495626908,-0.03540534152682584,2024-08,-0.07491103202846976
2024-08-07,200.4,9204434,203.51,205.75,200.2,-0.017935901205527793,-0.04680365296803657,2024-08,-0.07491103202846976
2024-08-06,200.34,10605780,195.4,202.6,194.0,-0.00029940119760485384,-0.03654900452053478,2024-08,-0.07491103202846976
2024-08-05,194.9,13927000,194.05,196.1699,190.9,-0.027153838474593184,-0.05475532276056061,2024-08,-0.07491103202846976
2024-08-02,199.14,18041680,203.88,204.67,196.89,0.021754746023601834,-0.032361516034985494,2024-08,-0.07491103202846976
2024-08-01,207.96,10918640,213.2,213.83,206.38,0.044290448930400794,0.01911202587474281,2024-08,-0.07491103202846976
2024-07-31,212.8,9071637,214.78,216.39,212.67,0.023273706482015877,0.0618762475049901,2024-07,-0.034539473684210634
2024-07-30,215.19,8850705,213.23,215.79,212.96,0.011231203007518786,0.07412398921832875,2024-07,-0.034539473684210634
2024-07-29,210.85,6533636,212.65,213.61,210.545,-0.020168223430456766,0.081836839404823,2024-07,-0.034539473684210634
2024-07-26,212.24,8027787,209.24,213.16,208.62,0.006592364239980997,0.06578286632519847,2024-07,-0.034539473684210634
2024-07-25,208.67,6403774,208.65,210.19,208.05,-0.016820580474934177,0.0034141180996345444,2024-07,-0.034539473684210634
2024-07-24,208.59,7118957,209.55,212.03,208.07,-0.000383380457181115,-0.019783834586466154,2024-07,-0.034539473684210634
2024-07-23,210.33,5557262,211.02,211.475,209.3527,0.00834172299726732,-0.02258469259723961,2024-07,-0.034539473684210634
2024-07-22,210.28,7663223,210.46,212.17,209.71,-0.00023772167546243228,-0.00270334360920077,2024-07,-0.034539473684210634
2024-07-19,209.78,8095898,211.2,212.35,208.92,-0.002377782004945761,-0.01159065209197141,2024-07,-0.034539473684210634
2024-07-18,209.98,12415130,215.63,216.635,209.235,0.0009533797311469527,0.006277854986342035,2024-07,-0.034539473684210634
2024-07-17,216.87,11572470,213.8,217.56,213.27,0.0328126488236975,0.03969509564216889,2024-07,-0.034539473684210634
2024-07-16,213.62,11557020,210.0,213.74,208.08,-0.01498593627518785,0.015642086245423847,2024-07,-0.034539473684210634
2024-07-15,210.05,10719670,207.19,211.61,206.72,-0.016711918359704092,-0.001093779722274979,2024-07,-0.034539473684210634
2024-07-12,204.94,15443440,204.0,207.45,202.1,-0.024327541061652025,-0.023071789493755324,2024-07,-0.034539473684210634
2024-07-11,207.45,10666940,206.21,208.1,205.38,0.012247487069386054,-0.012048766549195178,2024-07,-0.034539473684210634
2024-07-10,207.8,8328493,206.14,207.97,205.58,0.0016871535309714858,-0.041822289851062844,2024-07,-0.034539473684210634
2024-07-09,207.63,9060258,205.63,209.76,205.45,-0.0008180943214630698,-0.028040445651156265,2024-07,-0.034539473684210634
2024-07-08,205.17,8706967,205.04,206.9,203.97,-0.011847998844097707,-0.023232563675315565,2024-07,-0.034539473684210634
2024-07-05,204.79,8093096,206.99,207.37,204.52,-0.001852122630014108,-0.0007319215380111599,2024-07,-0.034539473684210634
2024-07-03,208.69,5560925,209.55,210.38,207.65,0.01904389862786271,0.005977343938298407,2024-07,-0.034539473684210634
2024-07-02,208.83,7802936,205.29,208.86,204.77,0.0006708515022282313,0.00495668912415792,2024-07,-0.034539473684210634
2024-07-01,205.45,10205840,202.84,207.09,202.66,-0.01618541397308826,-0.010499446130135315,2024-07,-0.034539473684210634
2024-06-28,202.26,15307620,200.01,202.6,199.3018,-0.015526892187880281,-0.01418336014037136,2024-06,-0.002175417779096202
2024-06-27,199.17,7913453,197.44,199.86,196.9,-0.015277365766834805,-0.02744274622784315,2024-06,-0.002175417779096202
2024-06-26,197.43,7758582,197.45,197.94,196.275,-0.008736255460159548,-0.053955627964924036,2024-06,-0.002175417779096202
2024-06-25,198.07,6915909,198.09,200.07,197.74,0.0032416552702223544,-0.051525164009002644,2024-06,-0.002175417779096202
2024-06-24,198.88,9785929,197.81,199.23,197.1,0.004089463321048203,-0.031978583596982246,2024-06,-0.002175417779096202
2024-06-21,196.3,20972500,196.71,197.17,194.22,-0.012972646822204226,-0.029467022644121377,2024-06,-0.002175417779096202
2024-06-20,198.67,8731062,196.39,199.45,196.11,0.012073357106469507,-0.0025104182356781024,2024-06,-0.002175417779096202
2024-06-18,197.0,9022971,194.6,197.96,194.13,-0.008405899229878666,-0.002177987134680648,2024-06,-0.002175417779096202
2024-06-17,194.98,8725445,193.48,195.58,192.64,-0.010253807106599067,-0.015600545261776122,2024-06,-0.002175417779096202
2024-06-14,193.78,6874029,191.45,194.86,191.42,-0.006154477382295576,-0.02564360418342715,2024-06,-0.002175417779096202
2024-06-13,193.66,8587786,192.32,194.58,190.88,-0.000619258953452384,-0.013448802852776387,2024-06,-0.002175417779096202
2024-06-12,191.53,12751330,196.0,196.72,191.31,-0.010998657440875692,-0.035938994312175954,2024-06,-0.002175417779096202
2024-06-11,194.36,9235302,197.91,197.94,193.6,0.014775753145721326,-0.013401015228426294,2024-06,-0.002175417779096202
2024-06-10,199.61,6071201,199.24,200.84,198.44,0.027011730808808476,0.02374602523335745,2024-06,-0.002175417779096202
2024-06-07,199.95,6964498,197.43,200.92,197.01,0.0017033214768797933,0.03184023119000923,2024-06,-0.002175417779096202
2024-06-06,196.91,7640289,197.26,198.02,195.33,-0.015203800950237545,0.01678198905297945,2024-06,-0.002175417779096202
2024-06-05,197.26,8351597,199.76,199.82,196.92,0.00177746178457161,0.029916984284446224,2024-06,-0.002175417779096202
2024-06-04,199.16,6848338,200.16,201.98,198.28,0.00963195782216375,0.02469643959662471,2024-06,-0.002175417779096202
2024-06-03,201.82,6444309,202.31,202.42,199.19,0.013356095601526397,0.011071589599719323,2024-06,-0.002175417779096202
2024-05-31,202.63,14417890,199.3,203.3,198.35,0.004013477356059836,0.013403350837709382,2024-05,-0.05315106351478054
2024-05-30,199.33,6829719,198.56,199.85,198.4,-0.01628584118837284,0.012289878624752504,2024-05,-0.05315106351478054
2024-05-29,198.11,6120045,198.0,198.99,196.89,-0.006120503687352619,0.004309033762547099,2024-05,-0.05315106351478054
2024-05-28,199.5,6910206,199.86,200.41,198.66,0.007016304073494517,0.0017071701144808493,2024-05,-0.05315106351478054
2024-05-24,200.71,7356233,197.75,200.76,197.56,0.006065162907268107,-0.005499950450896796,2024-05,-0.05315106351478054
2024-05-23,196.92,8069445,197.81,198.3,196.07,-0.01888296547257251,-0.028179440359275554,2024-05,-0.05315106351478054
2024-05-22,198.31,9425338,199.0,200.935,197.69,0.00705870404225073,-0.005117142427130905,2024-05,-0.05315106351478054
2024-05-21,199.52,14420800,197.0,199.9,196.6,0.006101558166506926,0.007117258088940481,2024-05,-0.05315106351478054
2024-05-20,195.58,17373250,204.39,205.88,195.4,-0.019747393744987907,-0.01964912280701747,2024-05,-0.05315106351478054
2024-05-17,204.79,9260490,203.81,205.05,202.8149,0.04709070457101938,0.020327836181555314,2024-05,-0.05315106351478054
2024-05-16,202.47,8497927,202.22,204.48,201.9901,-0.011328678158113115,0.028184034125533275,2024-05,-0.05315106351478054
2024-05-15,202.11,8369975,202.01,202.69,199.77,-0.0017780411912875493,0.019161918208864925,2024-05,-0.05315106351478054
2024-05-14,201.51,8596175,199.0,201.58,198.16,-0.0029686804215527385,0.00997393744987951,2024-05,-0.05315106351478054
2024-05-13,198.73,7049241,198.8,199.85,198.04,-0.013795841397449271,0.016105941302791527,2024-05,-0.05315106351478054
2024-05-10,198.77,7529790,198.54,199.3399,198.27,0.00020127811603698476,-0.0293959665999316,2024-05,-0.05315106351478054
2024-05-09,197.5,7977291,195.17,197.59,195.1,-0.006389294159078407,-0.02454684644638716,2024-05,-0.05315106351478054
2024-05-08,195.65,9227561,191.0,196.65,191.0,-0.009367088607594942,-0.03196279253871659,2024-05,-0.05315106351478054
2024-05-07,191.75,7688771,191.7,192.93,191.65,-0.019933554817275767,-0.04843432087737576,2024-05,-0.05315106351478054
2024-05-06,192.0,7911134,191.73,192.2,189.815,0.0013037809647979959,-0.03386504302319726,2024-05,-0.05315106351478054
2024-05-03,190.51,8922775,192.0,192.529,188.46,-0.007760416666666714,-0.04155556673542293,2024-05,-0.05315106351478054
2024-05-02,191.66,6501657,193.07,193.5,189.52,0.0060364285339351564,-0.029569620253164564,2024-05,-0.05315106351478054
2024-05-01,191.86,7446703,192.27,194.46,190.79,0.0010435145570282245,-0.019371326348070483,2024-05,-0.05315106351478054
2024-04-30,191.74,8153681,192.81,194.99,191.64,-0.0006254560617117155,-5.2151238591924276e-05,2024-04,0.03755085010952325
2024-04-29,193.28,5411129,193.48,194.26,192.43,0.00803170960675903,0.006666666666666599,2024-04,0.03755085010952325
2024-04-26,193.49,6413655,193.57,194.87,193.06,0.0010865066225165254,0.015642223505327957,2024-04,0.03755085010952325
2024-04-25,193.37,9802265,192.25,193.935,191.18,-0.0006201870897720729,0.00892204946259012,2024-04,0.03755085010952325
2024-04-24,193.08,6964905,190.53,193.23,190.17,-0.0014997155711847787,0.006358803294068682,2024-04,0.03755085010952325
2024-04-23,192.14,9144372,191.13,192.225,190.52,-0.004868448311580842,0.002086158339417832,2024-04,0.03755085010952325
2024-04-22,189.41,11529670,185.99,190.125,185.98,-0.01420838971583216,-0.020022764900662238,2024-04,0.03755085010952325
2024-04-19,185.8,13402310,182.4,185.88,181.41,-0.019059183781215294,-0.0397436560028942,2024-04,0.03755085010952325
2024-04-18,181.25,9557720,181.1,183.36,179.97,-0.02448869752421967,-0.06267776800951541,2024-04,0.03755085010952325
2024-04-17,180.08,9017093,181.37,182.4199,179.2,-0.006455172413793009,-0.06732960430909463,2024-04,0.03755085010952325
2024-04-16,180.8,16451800,182.9,183.16,179.65,0.003998223011994595,-0.05901946497345678,2024-04,0.03755085010952325
2024-04-15,182.89,14766590,184.5,187.46,182.195,0.0115597345132743,-0.034422680956654905,2024-04,0.03755085010952325
2024-04-12,182.79,31532310,188.32,188.93,182.54,-0.0005467767510525245,-0.01620021528525306,2024-04,0.03755085010952325
2024-04-11,195.43,10137700,196.0,196.57,193.24,0.06915039115925392,0.07823448275862077,2024-04,0.03755085010952325
2024-04-10,195.47,7681377,195.55,197.07,194.18,0.00020467686639702443,0.085462016881386,2024-04,0.03755085010952325
2024-04-09,197.15,7358631,198.07,198.88,194.91,0.008594669258709775,0.09043141592920345,2024-04,0.03755085010952325
2024-04-08,198.48,8000963,197.62,198.98,197.62,0.006746132386507675,0.0852424954890918,2024-04,0.03755085010952325
2024-04-05,197.45,6532278,196.16,198.1224,195.11,-0.005189439742039559,0.08020132392362811,2024-04,0.03755085010952325
2024-04-04,195.65,9243793,199.15,199.68,195.55,-0.009116231957457477,0.0011257227651844115,2024-04,0.03755085010952325
2024-04-03,198.3,9353426,199.04,199.56,197.7,0.013544594939943755,0.01447792500127898,2024-04,0.03755085010952325
2024-04-02,198.86,7014683,198.39,199.78,198.08,0.002824004034291505,0.008673598782652947,2024-04,0.03755085010952325
2024-04-01,198.94,7309009,199.99,200.94,198.565,0.0004022930705018801,0.0023176138653768774,2024-04,0.03755085010952325
2024-03-28,200.3,8628313,199.49,200.72,198.54,0.006836232029757694,0.0144340339326412,2024-03,-0.07493759360958571
2024-03-27,199.52,8725757,196.5,199.6,196.38,-0.0038941587618571694,0.01978021978021971,2024-03,-0.07493759360958571
2024-03-26,195.73,5961484,194.59,196.66,194.0554,-0.018995589414595115,-0.012960161371659229,2024-03,-0.07493759360958571
2024-03-25,194.82,8620015,196.6,196.94,194.36,-0.004649261738108645,-0.020315800060344058,2024-03,-0.07493759360958571
2024-03-22,196.62,8108840,199.01,200.48,196.54,0.009239297813366187,-0.011661807580174877,2024-03,-0.07493759360958571
2024-03-21,199.06,11203800,196.52,199.43,196.33,0.012409724341369222,-0.006190713929106417,2024-03,-0.07493759360958571
2024-03-20,196.33,9367043,194.19,196.56,193.61,-0.013714457952376136,-0.015988372093023284,2024-03,-0.07493759360958571
2024-03-19,193.79,8478717,192.71,193.93,192.38,-0.012937401314114139,-0.009911612936187586,2024-03,-0.07493759360958571
2024-03-18,192.66,9013843,190.63,192.7,189.89,-0.005831054233964572,-0.01108715737603938,2024-03,-0.07493759360958571
2024-03-15,190.3,17214230,186.48,190.94,186.48,-0.012249558808263172,-0.03214322042518558,2024-03,-0.07493759360958571
2024-03-14,187.97,10310950,191.03,191.63,187.103,-0.012243825538623243,-0.05571184567467102,2024-03,-0.07493759360958571
2024-03-13,191.38,7795535,190.36,191.73,189.84,0.018141192743522883,-0.025212652167269534,2024-03,-0.07493759360958571
2024-03-12,189.84,5708384,188.95,190.16,187.91,-0.008046817849305055,-0.020382888693947,2024-03,-0.07493759360958571
2024-03-11,188.29,5762569,187.28,188.44,186.22,-0.008164770332911964,-0.02268244575936884,2024-03,-0.07493759360958571
2024-03-08,188.22,6172199,188.44,190.455,187.92,-0.0003717669552285585,-0.010930110352075695,2024-03,-0.07493759360958571
2024-03-07,187.87,7618277,189.91,190.5,186.63,-0.001859526086494534,-0.0005319997872000881,2024-03,-0.07493759360958571
